track_id,song,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,party
6qL5UWxRSQYml9O99ozoLv,Love Songs - Bonus,0.831,0.641,0.355,0.000855,0.11,-10.599,0.0906,0.453,120.032,1
0ASYuzPsTBA6ZmIsuvNZby,falling down (feat. shiloh),0.909,0.783,0.319,0.157,0.326,-16.088,0.285,0.525,80.102,0
5qHirGR7M9tdm6C17DlzSY,REEL IT IN,0.073,0.754,0.342,0,0.193,-8.677,0.0991,0.423,128.981,1
5ZSl6gDoV6bPPxzmLeneV9,Rise,0.327,0.687,0.785,0,0.203,-4.65,0.0333,0.655,106.046,1
25pk3fyULNrcOhdnamchER,Watch Me,0.0676,0.673,0.933,3.9e-06,0.0551,-4.467,0.0523,0.57,122.06,1
68Dn0JWMUBcc7iq7CAeWZ9,Getting Loose (feat. Problem),0.111,0.9,0.439,0,0.0964,-6.505,0.241,0.21,101.982,1
0xKBkLcF71uUQeTA7FSu4A,BEST ON EARTH (feat. BIA) - Bonus,0.188,0.846,0.748,0,0.093,-3.512,0.078,0.597,90.006,1
2B8SN5jvaYseOKAJICd775,My Friends and I Pt. 3,0.00168,0.691,0.904,0.00167,0.713,-4.951,0.0502,0.864,127.991,1
6YndZBGmLySgsVScckWkmO,Take Yourself Home,0.0748,0.364,0.606,0.000322,0.106,-9.188,0.0831,0.289,99.73,1
2gwkD6igEhQbDQegRCcdoB,Suge,0.0608,0.876,0.662,0,0.127,-6.482,0.426,0.844,75.445,1
3k9vMJ09zyVP3N2pi8Yzj0,Alright (feat. Trippie Redd & Preme),0.00988,0.708,0.661,0,0.135,-5.028,0.11,0.293,155.962,1
0oH0OIeKJSAT5bdFkbz20A,Havin My Way (feat. Lil Durk),0.275,0.802,0.737,0,0.113,-4.862,0.0757,0.712,127.014,1
22yxHt6UqZpH7tP6W4PooI,For The Love Of A Princess,0.408,0.187,0.0602,0.922,0.122,-25.767,0.0464,0.0362,68.751,0
6tONBBNv04aqLTAHHP2c3O,I Like It That Way,0.467,0.773,0.566,2.64e-05,0.295,-7.651,0.0379,0.424,117.926,1
75exSBqGJwoLRjgwN5YREO,Rewind (feat. Caelu),0.00389,0.746,0.817,0.00236,0.158,-5.226,0.0612,0.343,123.022,1
3g0mEQx3NTanacLseoP0Gw,Takeaway,0.126,0.528,0.511,0,0.101,-8.144,0.0324,0.351,100.1,1
53CJANUxooaqGOtdsBTh7O,Old Town Road,0.0361,0.908,0.517,1.73e-06,0.0949,-6.063,0.129,0.471,136.019,1
1mLOZqjlHKf7jFByx9GZzH,SIX'FO,0.0294,0.772,0.367,0,0.129,-11.785,0.594,0.568,143.278,1
7s3VxmIizcDgDTRCA4kDzd,Traum,0.0527,0.706,0.772,0,0.0636,-6.312,0.0652,0.964,119.976,1
6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),0.0687,0.474,0.631,0,0.132,-5.884,0.343,0.425,180.051,1
63cd4JkwGgYJrbOizbfmsp,Pure Water (with Migos),0.172,0.68,0.559,0,0.318,-5.545,0.129,0.137,202.006,1
6rv93pYJSTtReQIuwcCYvm,NEW WIP,0.0126,0.734,0.826,0,0.145,-3.151,0.301,0.313,149.926,1
76oR5f6zl5jpJ6zKBNXL3g,"Humoresque, Op. 101, No. 7",0.81,0.152,0.0941,0.0658,0.111,-22.48,0.0492,0.0634,82.836,0
2aV5ZEAvHwvL332EsJ1gWc,DROPPED OUTTA COLLEGE,0.0116,0.911,0.378,1.53e-06,0.15,-7.822,0.411,0.19,120.044,1
2Y6I8OVTgvz1Yuch4oQJcO,Say My Name (feat. Bebe Rexha & J Balvin) - Afrojack & Chasner Remix,0.0052,0.406,0.91,0.00236,0.0783,-3.916,0.0594,0.239,127.974,1
