track_id,song,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,party
6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,0.0125,0.794,0.793,0,0.0952,-4.521,0.0842,0.677,123.941,1
46dEp5uZy65FLjRgVgxuiF,Maybe,0.00882,0.385,0.676,0.194,0.0706,-7.927,0.11,0.362,159.68,1
2uQfgaV796QLHJCVOP4bn1,2:19,0.202,0.8,0.563,0.112,0.247,-9.661,0.0902,0.778,126.318,0
25UAiv8lEZzSrcl7Z6dVHd,The Sky Is Crying,0.0226,0.294,0.611,0.435,0.114,-6.268,0.0348,0.567,178.191,0
3qslIzC1V8no9hJqgZbGY6,"Six Pieces for Piano, Volume 2: 4. La Valse d'Amélie",0.985,0.245,0.0942,0.893,0.0631,-20.079,0.0395,0.0713,71.782,0
0bJQ2EJndGgy6gN63wSHty,Moonwalk,0.411,0.706,0.48,0,0.103,-10.421,0.298,0.682,75.05,1
11VApNQCWLJdzxWrlmwzUa,Say So (feat. Nicki Minaj),0.119,0.856,0.641,4.97e-06,0.427,-4.64,0.204,0.745,111.004,1
0G9v9sxXSSldEN5D7fFOHN,Bird in a Cage,0.623,0.576,0.418,0.839,0.107,-10.343,0.0276,0.522,84.629,0
1A8j067qyiNwQnZT0bzUpZ,This Girl (Kungs Vs. Cookin' On 3 Burners),0.0927,0.792,0.717,3.59e-05,0.226,-4.759,0.0393,0.466,121.985,1
3bA5Xfk5JyPGtBh00GX8Gk,"Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)",0.045,0.84,0.798,4.32e-05,0.172,-5.079,0.0699,0.695,100.175,0
1T4U8Q2DRfs6OUg8DEsRZf,Bad,0.406,0.791,0.738,0.00826,0.159,-5.197,0.0732,0.666,123.927,1
6cdyjRatpIpojvZkeVq4du,Rivers of Babylon,0.288,0.728,0.645,0.00797,0.141,-7.282,0.0329,0.918,109.422,0
64ZxBE1ZgK4C0lGljXzDcG,"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",0.81,0.48,0.163,0.754,0.093,-19.117,0.0645,0.212,158.366,0
1WdjhpptMbaldV9A18LGz7,Small Axe,0.3,0.803,0.647,0.000136,0.0762,-10.602,0.2,0.821,91.807,0
1gnKUue6F9gXXHQshCBwEs,"Survive (feat. Emeli Sandé, Gucci Mane)",0.714,0.585,0.772,6.97e-06,0.113,-6.619,0.196,0.364,99.565,1
5cfYurP1XKldMBtvBBJiTs,Ramblin' Man,0.462,0.349,0.692,0.00266,0.197,-11.691,0.0338,0.952,179.396,0
0mD19MC6H0OzHvEUADHypU,Police In Helicopter,0.0331,0.686,0.652,8.34e-06,0.0578,-7.586,0.111,0.503,141.185,0
50y6y3iwBlKKev2U4a6GK5,Let The Good Times Roll,0.812,0.705,0.401,0,0.319,-9.506,0.0475,0.649,104.956,0
5nzhL67GpF9szXWg5y509A,Close Friends (Lil Baby & Gunna),0.0509,0.676,0.578,0,0.0796,-4.669,0.375,0.698,158.896,1
4abVwdCy5QUcyI3KS2lMJK,Here I Come,0.161,0.582,0.663,0,0.198,-6.547,0.0828,0.695,170.82,0
2LWMfIDkcpQhsWX4UOC6Ku,I Can't Quit You Baby,0.986,0.383,0.217,0.00554,0.306,-20.144,0.122,0.566,184.699,0
6jsliBpxd5xTz4BkW4Y2Uy,Who You Gonna Hoodoo Now?,0.52,0.726,0.479,0.321,0.139,-12.996,0.0274,0.647,86.515,0
0mJQlCl9YgxW7kyeltNiVk,Touch of Grey - 2013 Remaster,0.0785,0.612,0.696,9.4e-06,0.14,-11.34,0.0353,0.849,159.829,0
419qlOGNXoyICx4jO0hqaj,"Rhapsody On A Theme Of Paganini, Op.43: Variation 18. Andante cantabile",0.98,0.205,0.0525,0.906,0.103,-23.841,0.0327,0.0511,88.316,0
3nSECoLmCiUbpQVJtpmS1I,Poetry,0.209,0.749,0.501,0.0973,0.304,-10.441,0.17,0.4,89.965,0
2L6orAlH8tBhiFTumIfMyF,Call on Me - Ryan Riback Remix,0.0604,0.67,0.838,0.000611,0.159,-4.031,0.0362,0.717,104.998,1
5wMh9hhqKQ4JfqLuvqAC7s,Cold,0.0121,0.881,0.785,0,0.0849,-5.4,0.102,0.178,105.972,1
36JWGQRW85mJYLXvnryEzL,Day 'N' Nite,0.141,0.781,0.738,0.00243,0.093,-5.579,0.0562,0.968,130.008,1
2dzja72gQodveSpguIQGJl,Need Me,0.156,0.815,0.567,0,0.0884,-4.653,0.135,0.732,95.034,1
4A4DPQmlNtUjGaT2fHCxEz,People Get Ready,0.654,0.773,0.424,0.0466,0.103,-6.754,0.0935,0.89,88.777,0
462xBkUvTjn40Ud3icDJvw,Five Long Years,0.403,0.547,0.344,0.0018,0.193,-11.435,0.0461,0.463,147.849,0
71UYuIZf0TeXAjyy72COVr,Tear Me Down (feat. Philip Rustad),0.263,0.72,0.817,0,0.103,-4.344,0.109,0.703,100.02,1
6V9VCm1zOY2lGR80RehJ9i,Wichita Lineman - Remastered 2001,0.326,0.192,0.392,0.000199,0.248,-11.667,0.0328,0.391,172.312,0
04eShjKTWijeJJqGnhxpYK,Scheherazade: The Tale of the Kalendar Prince,0.962,0.151,0.0639,0.603,0.466,-24.404,0.0439,0.0797,61.577,0
0tZt1xxTFZ1z1aBnYQkmp2,GO OFF (Nuthin' 2 It),0.00197,0.881,0.581,0.00923,0.243,-7.792,0.182,0.486,119.988,1
1ZhrREyOOeFV6TxDOyiPwu,Take The Money And Run,0.0552,0.565,0.645,2.84e-06,0.151,-12.923,0.0484,0.836,99.3,0
4SBqydJCEhcroni09XgT2c,ID - Ultra Music Festival Anthem,0.623,0.686,0.678,0.719,0.0971,-8.063,0.0425,0.338,105.005,1
5ykNEVqVaaFLgKb3AsFDpV,Satisfaction,0.647,0.76,0.407,8.15e-05,0.0798,-8.14,0.165,0.544,89.137,0
10G1dkiioGJoMzUQKB4y8o,El Amor Brujo: Danza Ritual del Fuego,0.942,0.295,0.0653,0.813,0.0816,-22.905,0.0396,0.114,133.048,0
4ZH03VC3uJk7uKk7CwsBqH,Desire,0.299,0.706,0.777,0,0.298,-4.591,0.0567,0.638,126.008,1
5fcN6gVA5YnIges0yd8JGY,Love in the Morning,0.43,0.698,0.822,4.73e-05,0.27,-4.561,0.241,0.674,144.686,0
