track_id,song,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,party
76PdGGIZ5Ug6L9S1Eg4o3O,"Piano Sonata No. 9 in E Major, Op. 14 No. 1: 1. Allegro - Stereo Version",0.993,0.375,0.0443,0.908,0.112,-24.003,0.0388,0.124,77.886,0
666ar5Uff4YpYepwYZVnp1,Praeludium And Allegro In The Style Of Pugnani,0.897,0.353,0.237,0.448,0.0953,-19.635,0.0434,0.122,106.101,0
3MdV4O6NgN42ZC0a335Cag,Kreisleriana Op.16: VIII. Schnell und spielend,0.991,0.362,0.0617,0.916,0.171,-24.588,0.0379,0.392,93.635,0
4UP1krmPc2VqQNmETlFJU1,"Oboe Concerto in F Major, Op. 7, No. 9: II. Adagio",0.933,0.0937,0.128,0.775,0.117,-21.964,0.0394,0.0392,163.545,0
13RmpuZmGHg4f6WToHFRTg,"Violin Concerto No.1 in D, Op.6: 3. Rondo (Allegro spirituoso)",0.822,0.451,0.0929,0.32,0.0749,-22.37,0.0453,0.269,99.344,0
2MAlTfMXQbJviI2wmF9z7L,"Piano Concerto No. 20 in D Minor, K.466: II. Romanze",0.99,0.199,0.0343,0.91,0.0997,-25.257,0.0348,0.087,83.733,0
1ZS9SsAz9G434SdwhoQnEi,The Swan,0.994,0.225,0.0128,0.89,0.0708,-30.942,0.0421,0.0397,60.829,0
1cDpFUcmn7hrJZO3LjLPJu,Orff: Carmina Burana: In Trutina,0.984,0.242,0.0523,0.54,0.108,-23.426,0.0426,0.0377,69.799,0
7oB0QBEnGRIJjvlDc8YnM6,Rhapsody in Blue,0.969,0.305,0.184,0.781,0.132,-18.342,0.0409,0.0771,70.813,0
5Fjh9jRPL7qqQG7dEtHAOP,"Variations on an Original Theme, Op. 36 ""Enigma"": 9. Nimrod (Adagio) (Arr. Parkin)",0.957,0.158,0.0908,0.922,0.118,-19.848,0.0445,0.0392,90.123,0
086sjLPEqdKBgTxbTeCLCv,Rêverie,0.995,0.251,0.00904,0.922,0.0779,-31.599,0.0406,0.0819,62.225,0
5NGtFXVpXSvwunEIGeviY3,Gymnopédie No. 1,0.994,0.469,0.0128,0.937,0.0941,-36.856,0.119,0.354,72.765,0
3kmgFOQyFiq8ooX01N0fbq,Thinking Of You,0.00237,0.721,0.511,0.602,0.0591,-11.426,0.0691,0.485,83.007,0
