track_id,song,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,party
0Pq0mOdgFXTezl6mMt8a39,San Juan Sunset,0.959,0.597,0.263,0.9,0.134,-21.112,0.0284,0.262,94.44,0
6mG32lzFGs8UxgpQKLIrQp,Black Frost,0.119,0.71,0.517,0.0162,0.0858,-8.983,0.0655,0.808,89.378,0
1BtBvLfVKCUqxi13inMJep,Skatin',0.144,0.733,0.716,0.033,0.0688,-14.626,0.0432,0.879,99.563,0
6vkvSBJIrpdbwwrmBrER8V,Friends And Strangers,0.212,0.451,0.473,0.351,0.18,-12.78,0.0285,0.903,189.197,0
3Yahrb4joLsIIdUSqyHJZ4,Charisma,0.213,0.639,0.555,0.816,0.336,-9.873,0.0414,0.726,83.479,0
0IXF4yLGlUkaXUataXDin8,Capricorn,0.486,0.68,0.166,0.822,0.211,-19.703,0.0534,0.428,134.23,0
4KGcpnAbGlvVgd2HFQvexI,Dolphin Dance,0.87,0.378,0.232,0.948,0.1,-18.05,0.0303,0.155,148.531,0
7jszRQdF8gDMAxn7f8ga4A,I Feel Like Loving You Today,0.356,0.577,0.728,0.0496,0.652,-7.355,0.048,0.787,77.406,0
6yrnPCDXguFp5eZTGmZawc,Gary's Theme - Remastered,0.905,0.42,0.0802,0.857,0.135,-21.795,0.04,0.0541,122.041,0
1gtEY6ZFxbBnH8poGIRIaH,Spirits up Above,0.58,0.327,0.466,0.000138,0.334,-9.168,0.0315,0.489,98.161,0
1HEGcv63IZ7TPncpVKdVdN,My One And Only Love,0.984,0.466,0.0718,0.000931,0.107,-17.999,0.0375,0.196,121.769,0
4uDOJaEKr2MoeuIjgXM5kf,Bossa Nova U.S.A.,0.554,0.619,0.359,0.0115,0.0752,-19.488,0.0514,0.779,106.037,0
6eimz6jvlZaPwtflDWCTa0,Tell Me a Bedtime Story,0.713,0.398,0.527,0.934,0.119,-16.591,0.0297,0.353,118.504,0
1pYPgA8XdHFQS15HPB41MH,Places And Spaces,0.151,0.62,0.705,0.0802,0.107,-10.179,0.0404,0.907,93.018,0
0lJ3iwfMWh8xDXWuGhbMv7,Memphis Underground,0.626,0.779,0.411,0.853,0.0848,-17.37,0.0322,0.941,113.08,0
6Omb07SkH7gZzYkNKf1iRh,Just Like a Baby,0.00891,0.84,0.398,0.361,0.0921,-13.419,0.0333,0.466,97.979,0
3YT2vdLbvfcjfCiNR4DsKT,Come Live With Me,0.795,0.613,0.218,0.886,0.111,-18.486,0.0366,0.635,82.371,0
0xQlC8tI2hBeOs2TKOkM1G,Hung Up On My Baby,0.139,0.649,0.753,0.858,0.0512,-7.539,0.0306,0.84,102.147,0
1cpANF6zMBoFoxkoIjZHjv,Skating In Central Park,0.993,0.478,0.0294,0.948,0.105,-25.319,0.0453,0.148,124.308,0
1qHrF4XOI6Pliy7atNjLds,Isfahan,0.975,0.247,0.072,0.631,0.101,-13.544,0.032,0.0872,173.372,0
1UceH3dNaxzKSG4qQ1kbp2,Trust,0.898,0.401,0.317,0.76,0.118,-14.369,0.0364,0.0633,116.744,0
0EjtZmOLT6WLShJRHCFWVU,Tapestry from an Asteroid,0.668,0.373,0.108,0.756,0.168,-16.105,0.0286,0.354,72.118,0
50ijZUy4vc2q9Pm12q5F7K,Cocktails For Two,0.917,0.591,0.125,0.344,0.0956,-14.429,0.0469,0.403,83.624,0
7p6ZeiNtEHJKmc4YWBZELG,Georgia On My Mind,0.976,0.431,0.113,0.903,0.107,-24.017,0.049,0.127,98.99,0
5F8rPLt2c52p0SK7kiH26b,Crystal Silence,0.985,0.203,0.0186,0.377,0.0728,-24.277,0.0408,0.0481,76.591,0
60bUzLLPRmNNBd751RfAoU,Stardust,0.967,0.349,0.0332,0.693,0.272,-22.266,0.0352,0.23,64.918,0
4QtTLCabjjQaBMblPdKeAu,You Look Good To Me,0.736,0.41,0.257,0.281,0.106,-17.621,0.0363,0.209,91.516,0
79QByJn6Hp4A677VMSJszm,Country,0.798,0.518,0.315,0.327,0.101,-14.831,0.0302,0.479,143.64,0
6cU4urQRUieTBH08yKHAqj,Summertime,0.962,0.339,0.342,0.319,0.162,-7.596,0.0313,0.393,132.599,0
6zSHjRauxTzsyqvwZdXaSP,Chanson,0.937,0.652,0.371,0.876,0.106,-13.321,0.0439,0.548,79.205,0
7yzM0pEseQUpb6BMViOPEA,Love Theme From Spartacus - Remastered,0.635,0.522,0.379,0.925,0.114,-14.096,0.0286,0.454,133.698,0
4ykEMIuNsDTySN2702tjFl,Amuck,0.561,0.303,0.881,0.818,0.284,-13.188,0.0503,0.285,80.779,0
7vrOjXJ3Oht6fFYxwoEV5J,Om Supreme,0.882,0.352,0.0433,0.938,0.0985,-24.963,0.0309,0.0645,66.549,0
52AUkY3eBz7b6BS2WXv1Uq,Sintayehu,0.00886,0.369,0.746,0.734,0.343,-11.206,0.0613,0.704,89.198,0
5HZHfDFP3CKnRt1IDwbZe9,Warm Canto,0.924,0.428,0.0584,0.733,0.114,-22.444,0.0347,0.31,92.894,0
7unF2ARDGldwWxZWCmlwDM,"A Love Supreme, Pt. II - Resolution",0.581,0.341,0.57,0.0,0.0966,-11.71,0.0673,0.392,89.754,0
0ldmR2mJJNEoBIINfZWdv6,These Foolish Things (Remastered),0.986,0.593,0.103,0.6,0.12,-14.961,0.081,0.443,66.283,0
3AeIbfjydFf46N27feEFri,My Funny Valentine,0.972,0.329,0.0317,0.939,0.147,-21.514,0.0441,0.267,75.844,0
4h1H5wX4EfHIpKOLxcC2pm,(I'm Afraid) The Masquerade Is Over,0.93,0.503,0.0865,0.877,0.137,-19.919,0.0375,0.131,108.236,0
3gjsECEyGpX3DXIFCO407o,"Take The ""A"" Train",0.852,0.585,0.248,0.386,0.078,-17.56,0.0352,0.423,140.508,0
0TnCuBpf5kwR6JsKsSVOYK,The Chant,0.86,0.673,0.546,0.893,0.183,-3.973,0.0773,0.686,118.253,0
0f3sQD3dmibKMOLRLtJMGp,Myself When I Am Real,0.991,0.315,0.186,0.898,0.0778,-17.208,0.0409,0.0954,81.422,0
489alJQIWUauqzKTMuXRjm,Cool Out,0.0708,0.453,0.367,0.00183,0.1,-16.245,0.0343,0.127,140.832,0
6GYDuxSsHvct5LNylohwne,Where There Is Love,0.334,0.59,0.459,0.000742,0.0462,-10.784,0.0311,0.394,83.093,0
722E6CPY8biq4sUnf40u6Y,Why Can't We Live Together,0.575,0.87,0.455,0.648,0.051,-15.31,0.0342,0.961,105.658,0
5i6CpkeePD4aKacf0cmZqg,Summer Breeze,0.424,0.409,0.693,2.99e-05,0.268,-8.344,0.0368,0.696,162.631,0
