track_id,song,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,party
7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),0.247,0.746,0.69,0,0.101,-7.956,0.164,0.497,89.977,1
6dRK7lr3WCpQjfSFSA0oI1,Gangstas & Sippas (feat. Q Da Fool),0.0259,0.743,0.424,0.00105,0.112,-6.958,0.51,0.266,201.066,1
62vpWI1CHwFy7tMIcSStl8,No Role Modelz,0.302,0.696,0.521,0,0.0565,-8.465,0.332,0.458,100.0,1
34xlXbZ4Ws3GGpUKeimDu5,Both Sides (feat. Lil Baby),0.0084,0.844,0.616,0,0.121,-5.2,0.161,0.188,160.024,1
51wFQM8W0YfXTmHusXUr5i,MAMACITA,0.0257,0.786,0.733,0,0.143,-4.961,0.127,0.358,101.046,1
1kK6DwzyXJSp58u5HYWwuD,"Go Loko (feat. Tyga, Jon Z)",0.325,0.88,0.67,4.17e-06,0.0662,-5.177,0.0468,0.131,101.008,1
39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,0.233,0.716,0.537,0,0.157,-7.648,0.0514,0.28,129.979,1
7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (& Metro Boomin),0.149,0.88,0.428,5.07e-05,0.114,-8.28,0.206,0.333,100.007,1
23d6F7ZKLNM6t0mAhSA3jp,Survivor,0.217,0.722,0.52,0.00574,0.0915,-7.805,0.0801,0.277,166.054,1
67lKDoCZbRCJDa4RT68eme,Secret (feat. Summer Walker),0.0893,0.727,0.496,0.00011,0.0987,-10.386,0.178,0.504,130.061,1
4h7qcXBtaOJnmrapxoWxGf,Isis (feat. Logic),0.206,0.884,0.936,0,0.262,-3.931,0.167,0.758,120.004,1
51EC3I1nQXpec4gDk0mQyP,90210 (feat. Kacy Hill),0.113,0.402,0.526,8.33e-06,0.105,-6.741,0.0904,0.312,81.404,1
24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),0.021,0.672,0.855,0,0.323,-3.764,0.0397,0.646,123.056,1
3TMZVleKFb75oUZpp86KPn,Save Room for Us,0.477,0.758,0.671,3.78e-05,0.313,-4.766,0.0752,0.416,112.055,1
3MTk8zTFCHgMei64ycr6GH,There Will Be Blood,0.00119,0.562,0.879,1.81e-05,0.167,-4.733,0.0905,0.602,107.026,1
18RdChpgvaAO7GXDjLks2B,Friends,0.198,0.747,0.537,1.26e-05,0.18,-5.76,0.0413,0.453,97.056,1
59tskctgqUmjCWAwhzYAFm,Looking at Me,0.00398,0.681,0.798,5.11e-06,0.0542,-4.367,0.0375,0.516,105.99,1
2sGF7DBXvL2GjkbG606m1G,No Judgement,0.0564,0.723,0.726,0.000126,0.057,-3.835,0.0472,0.962,100.051,1
0nbXyq5TXYPCO7pr3N8S4I,The Box,0.104,0.896,0.586,0,0.79,-6.687,0.0559,0.642,116.971,1
7hav1MHURQf5SAoPk0egqh,Baby Pluto,0.135,0.772,0.634,0,0.432,-6.101,0.212,0.671,160.052,1
2QbGvQssb0VLLS4x5NOmyJ,RICKY,0.0399,0.776,0.562,0,0.138,-6.901,0.363,0.521,169.03,1
5FkoSXiJPKTNyYgALRJFhD,ORANGE SODA,0.177,0.83,0.564,0,0.128,-7.822,0.235,0.107,85.042,1
2dzja72gQodveSpguIQGJl,Need Me,0.156,0.815,0.567,0,0.0884,-4.653,0.135,0.732,95.034,1
3ntcm3V9ByPKN6cstxXh80,No I in Team,0.0173,0.74,0.592,0,0.276,-5.003,0.0879,0.379,140.093,1
3Q6F8RByyhRTJpRtZLY3cg,WHATS POPPIN,0.017,0.923,0.604,0,0.272,-6.671,0.245,0.826,145.062,1
7iHHxY2NLlJRAmlAmC4ahQ,Stuck In A Dream (feat. Gunna),0.484,0.748,0.648,0,0.126,-6.445,0.0816,0.726,139.952,1
5IjRKZlpKVBBRn0COL7pik,Stop Snitchin,0.00531,0.842,0.743,3.69e-06,0.151,-4.43,0.329,0.622,180.917,1
4ugUxONjaw667etXxQUPR3,What I Like (feat. Rich The Kid & Tyga),0.117,0.929,0.636,0,0.0994,-5.366,0.285,0.687,105.103,1
6JsHgIkMYHcbNtKfsal2Mg,Jerry Sprunger (with T-Pain),0.137,0.76,0.746,0,0.0905,-5.331,0.227,0.449,100.011,1
4s5kD9Pdiy8iVmJ7TKRRy2,Mirrors on the Ceiling,0.447,0.735,0.334,1.37e-06,0.0956,-11.59,0.191,0.594,148.09,1
127QTOFJsJQp5LbJbu3A1y,Toosie Slide,0.321,0.834,0.454,6.15e-06,0.114,-9.75,0.201,0.837,81.618,1
4k7dYdLGhJuUjaeEQB5hcA,Best You Had,0.33,0.807,0.537,0,0.0797,-7.678,0.054,0.515,119.968,1
1wI3UvluGGKUeFeVFsP9do,Best Friend - Remix,0.368,0.545,0.64,0,0.111,-3.529,0.308,0.574,181.733,1
5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,0.23,0.554,0.498,5.98e-06,0.795,-8.866,0.0685,0.413,79.635,1
4Ami4MTReWxztxGW1ZmOk8,Rapper Weed,0.0446,0.551,0.674,0,0.0922,-5.15,0.425,0.55,147.368,1
27a1mYSG5tYg7dmEjWBcmL,CAN'T SAY,0.201,0.702,0.708,0,0.118,-5.366,0.0547,0.713,147.98,1
3Dv1eDb0MEgF93GpLXlucZ,Say So,0.256,0.787,0.673,3.57e-06,0.0904,-4.577,0.158,0.786,110.962,1
2KV6j7i6JUPQY3PS6aNvMg,"How It’s Done (with Kim Petras, ALMA, Stefflon Don)",0.00269,0.723,0.924,0.00248,0.0817,-5.669,0.0559,0.58,122.004,1
